Date,Description,Original Description,Category,Amount,Status
2026-02-17,"REGALCINEMASUNLIMITE             021726","REGALCINEMASUNLIMITE             021726",Category Pending,-24.49,Pending
2026-02-17,"REGALCINEMASUNLIMITE             021726","REGALCINEMASUNLIMITE             021726",Category Pending,-24.49,Pending
2026-02-17,"ATT              PAYMENT    ***********PAYB","ATT              PAYMENT    ***********PAYB",Category Pending,-256.66,Pending
2026-02-17,"WMT PLUS Feb 2026                021526","WMT PLUS Feb 2026                021526",Category Pending,-13.99,Pending
2026-02-17,"PIZZA HUT 041769                 021526","PIZZA HUT 041769                 021526",Category Pending,-26.98,Pending
2026-02-17,"Starlink                         021526","Starlink                         021526",Category Pending,-120.00,Pending
2026-02-17,"BURGER KING #24135               021426","BURGER KING #24135               021426",Category Pending,-12.88,Pending
2026-02-17,"METROPOLIS PARKING               021426","METROPOLIS PARKING               021426",Category Pending,-176.15,Pending
2026-02-17,"Google One                       021426","Google One                       021426",Category Pending,-21.59,Pending
2026-02-13,"FIVE GUYS NY 1111 EC             021326","FIVE GUYS NY 1111 EC             021326",Category Pending,-70.16,Pending
2026-02-13,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2026-02-13,"Ef Education First","EF Education First       800-6655364  MA",Education,-95.00,Posted
2026-02-13,"Social Security","SSA  TREAS 310   XXSOC SEC  *********** SSA",Income,3097.00,Posted
2026-02-12,"Eataly","EATALY CAFFE RCKFLR CTR  NEW YORK     NY",Groceries,-40.39,Posted
2026-02-12,"Duane Reade","Duane Reade STO 51 W 51  NEW YORK     NY",Pharmacy,-36.09,Posted
2026-02-12,"Burger King","BURGER KING #13136       https://prod.NY",Fast Food,-22.80,Posted
2026-02-11,"Empire Toyota","EMPIRE TOYOTA            ONEONTA      NY",Auto & Transport,-188.50,Posted
2026-02-11,"Defense Finance and Accounting Service","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Paycheck,500.00,Posted
2026-02-10,"Walmart","Walmart.com              Bentonville  AR",Shopping,-139.70,Posted
2026-02-10,"Unadilla","P738008                  UNADILLA     NY",Cash,-122.25,Posted
2026-02-10,"ATM Fee Rebate","ATM REBATE",Atm Fee,2.25,Posted
2026-02-09,"Mirabito","MIRABITO 70 ONEONTA RT   ONEONTA      NY",Gas,-32.58,Posted
2026-02-09,"Pizza Hut","PIZZA HUT 041764         https://ipchaNY",Fast Food,-26.98,Posted
2026-02-09,"Burger King","BURGER KING #11695       https://prod.NY",Fast Food,-17.24,Posted
2026-02-09,"Amazon","AMAZON PRIME*V40993V93   amzn.com/billWA",Shopping,-2.99,Posted
2026-02-06,"OpenAI","OPENAI *CHATGPT SUBSCR   OPENAI.COM   CA",Business Services,-64.80,Posted
2026-02-06,"Spiedie and Rib Pit","SPIEDIE AND RIB PIT      BINGHAMTON   NY",Restaurants,-26.51,Posted
2026-02-06,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-3.22,Posted
2026-02-06,"Amazon","AMAZON PRIME*L899G14C3   amzn.com/billWA",Shopping,-2.99,Posted
2026-02-05,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-113.50,Posted
2026-02-05,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-15.00,Posted
2026-02-05,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-02-04,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-38.35,Posted
2026-02-04,"Amazon","AMAZON MKTPL*B76LO22Z3   Amzn.com/billWA",Shopping,-5.39,Posted
2026-02-04,"Stewart's Shops","STEWART'S SHOP # 476     OXFORD       NY",Gas,-3.89,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-25.05,Posted
2026-02-03,"YouTube Premium","Google YouTubePremium    650-2530000  CA",Entertainment,-22.99,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-4.84,Posted
2026-02-03,"Mobile Deposit","DEPOSIT@MOBILE",Income,1000.00,Posted
2026-02-02,"Barnes & Noble","Barnes & Noble 390 Hack  Hackensack   NM",Books,-174.21,Posted
2026-02-02,"Price Chopper","PRICE CHOPPER #161       NORWICH      NY",Groceries,-134.29,Posted
2026-02-02,"Food & Merch","RCMH FOOD & MERCH        NEW YORK     NY",Food & Dining,-130.00,Posted
2026-02-02,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-118.50,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-93.61,Posted
2026-02-02,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-86.76,Posted
2026-02-02,"Rosie O'grady's","ROSIE O'GRADY'S          NEW YORK     NY",Alcohol & Bars,-62.74,Posted
2026-02-02,"Metropolis","METROPOLIS PARKING       METROPOLIS.IOTN",Parking,-39.20,Posted
2026-02-02,"CITGO","CITGO GUILFORD D         GUILFORD     NY",Gas,-37.20,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-23.94,Posted
2026-02-02,"Wendy's","WENDY'S #4917            ONEONTA      NY",Fast Food,-14.03,Posted
2026-02-02,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-12.57,Posted
2026-02-02,"Sonic","SONIC DRIVE IN #6120     817-428-2077 NY",Fast Food,-12.00,Posted
2026-02-02,"Burger King","BURGER KING #2876        https://prod.NY",Fast Food,-9.06,Posted
